RouteNumber,Source,Target,SourceLong,SourceLat,TargetLong,TargetLat,TotalStations
100,Kendriya Terminal,Regal,77.203,28.617,77.217,28.63,11
100,Regal,Shivaji Stadium,77.217,28.63,77.215,28.632,
100,Shivaji Stadium,Chitra Gupta Road,77.215,28.632,77.208537,28.641385,
100,Chitra Gupta Road,Master Prithvi Nath Marg / Faiz Road,77.208537,28.641385,77.198,28.652,
100,Master Prithvi Nath Marg / Faiz Road,Ice Factory,77.198,28.652,77.209181,28.666948,
100,Ice Factory,Malka Ganj,77.209181,28.666948,77.201,28.677,
100,Malka Ganj,Maurice Nagar,77.201,28.677,77.205,28.686,
100,Maurice Nagar,G.T.B. Nagar,77.205,28.686,77.2060021632,28.698215324,
100,G.T.B. Nagar,Model Town II,77.2060021632,28.698215324,77.19,28.704,
100,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.7157508187,
100A,Kendriya Terminal,R.M.L. Hospital,77.203,28.617,77.198,28.624,14
100A,R.M.L. Hospital,Regal,77.198,28.624,77.217,28.63,
100A,Regal,Chitra Gupta Road,77.217,28.63,77.208537,28.641385,
100A,Chitra Gupta Road,Master Prithvi Nath Marg / Faiz Road,77.208537,28.641385,77.198,28.652,
100A,Master Prithvi Nath Marg / Faiz Road,Ice Factory,77.198,28.652,77.209181,28.666948,
100A,Ice Factory,Malka Ganj,77.209181,28.666948,77.201,28.677,
100A,Malka Ganj,Maurice Nagar,77.201,28.677,77.205,28.686,
100A,Maurice Nagar,G.T.B. Nagar,77.205,28.686,77.2060021632,28.698215324,
100A,G.T.B. Nagar,Model Town II,77.2060021632,28.698215324,77.19,28.704,
100A,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.7157508187,
100A,Adarsh Nagar,G.T.K. Depot,77.170962,28.7157508187,77.1583198811,28.731536134,
100A,G.T.K. Depot,Sameypur,77.1583198811,28.731536134,77.146,28.742,
100A,Sameypur,Badli Railway Station,77.146,28.742,77.1372381847,28.7453477905,
100EXTN,Kendriya Terminal,R.M.L. Hospital,77.203,28.617,77.198,28.624,13
100EXTN,R.M.L. Hospital,Regal,77.198,28.624,77.217,28.63,
100EXTN,Regal,Chitra Gupta Road,77.217,28.63,77.208537,28.641385,
100EXTN,Chitra Gupta Road,Master Prithvi Nath Marg / Faiz Road,77.208537,28.641385,77.198,28.652,
100EXTN,Master Prithvi Nath Marg / Faiz Road,Ice Factory,77.198,28.652,77.209181,28.666948,
100EXTN,Ice Factory,Malka Ganj,77.209181,28.666948,77.201,28.677,
100EXTN,Malka Ganj,Maurice Nagar,77.201,28.677,77.205,28.686,
100EXTN,Maurice Nagar,G.T.B. Nagar,77.205,28.686,77.2060021632,28.698215324,
100EXTN,G.T.B. Nagar,Model Town II,77.2060021632,28.698215324,77.19,28.704,
100EXTN,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.7157508187,
100EXTN,Adarsh Nagar,G.T.K. Depot,77.170962,28.7157508187,77.1583198811,28.731536134,
100EXTN,G.T.K. Depot,Sameypur,77.1583198811,28.731536134,77.146,28.742,
101,Nizamuddin Railway Station,Police Station Nizamuddin,77.253,28.586,77.244,28.591,15
101,Police Station Nizamuddin,Golf Club / Sunder Nagar,77.244,28.591,77.240665,28.602168,
101,Golf Club / Sunder Nagar,Supreme Court,77.240665,28.602168,77.24,28.623,
